tmdbID,Title,Year
250792,لا شيء يهم,1964
233206,القط الأسود,1964
276374,ماما,1966
250794,أيام معه,1967
282239,الجاهزين قوي,1968
250798,نادية,1968
250653,العتبة جزاز,1968
252180,الحب الضائع,1969
52663,العلم و الأيمان,1971
252182,النورس,1972
104045,عادات وتقاليد,1972
252204,من أنا؟,1975
104059,أرض النفاق,1975
202952,فوازير نيللي,1975
275240,حكاية غريبة,1976
279242,عاصفة على بحر هادئ,1977
274551,الحصار,1977
249606,الحقيقة.. ذلك المجهول,1977
226250,حكاية ميزو,1977
279857,ريش علي مافيش,1978
278718,مين اللي فيهم,1978
274523,رحلة هادئة,1978
240485,برج الحظ,1978
274600,المشربية,1978
259282,الزائر المجهول,1978
213360,جحا وبنات شهبندر التجار,1978
110398,كيف تخسر مليون جنيه,1978
275247,أيام العذاب,1979
274618,رجال في الغروب,1979
56445,الأيام,1979
244905,إصلاحية جبل الليمون,1979
274983,حكاية الدكتور مسعود,1979
278954,سبع صنايع,1979
104044,أبنائي الأعزاء..شكراً,1979
275268,الليل الطويل,1979
275443,هذا المصير,1979
240520,هي والمستحيل,1979
281933,المشهد رقم 13,1980
274620,اللمسة الأخيرة,1980
272977,زينب والعرش,1980
249679,صيام صيام,1980
55069,عيون,1980
55044,دموع في عيون وقحة,1980
131377,محمد رسول الله,1980
274981,الشبيهان,1980
274295,بلا خطيئة,1980
260869,الصراع,1980
260897,اللعبة,1981
232104,الفتوحات الإسلامية,1981
249691,ومشيت طريق الأخطار,1981
56448,الرجل الذي فقد ذاكرته مرتين,1981
221020,أبواب المدينة,1981
275249,الخيوط الفضية,1982
274597,خدمة ليلية,1982
243123,أديب,1982
256826,ليلة القبض على فاطمة,1982
113610,وقال البحر,1982
249835,وتوالت الأحداث عاصفة,1982
257128,ثلاثة في قطار,1982
283700,الجبان,1983
256885,البحث عن الضحية,1983
54138,الشهد والدموع,1983
234451,عطفة خوخة,1983
235881,نهاية العالم ليست غدًا,1983
250398,ألف ليلة وليلة,1984
249841,Ahlan Ahlan Bel Sokan,1984
117104,هند والدكتور نعمان,1984
201159,جمال الدين الأفغاني,1984
256850,حواديت زمان,1984
86921,Tanzschule Kaiser,1984
110615,علي الزيبق,1985
243467,مهلا أيها الخريف,1985
274542,وأدرك شهريار الصباح,1985
249458,لا إله إلا الله,1985
240551,حكايات هو وهي,1985
106180,ألف ليلة وليلة: عروس البحور,1985
240165,طريق الندم,1985
202961,هلا,1986
131454,الإمام مسلم,1986
106190,الكابتن جودة,1986
211982,غوايش,1986
209739,رحلة السيد أبو العلا البشري,1986
106179,ألف ليلة وليلة: وردشان وماندو,1986
237320,سفر الأحلام,1986
238062,الحب وأشياء أخرى,1986
106189,بكيزة وزغلول,1987
240488,غداً تدق الأجراس,1987
278760,الثلاثية,1987
135210,البشاير,1987
106181,ألف ليلة وليلة: الثلاث بنات (كريمة وحليمة وفاطيمة),1987
256718,8 حارة البحر,1987
246359,عصفور النار,1987
52560,ليالي الحلمية,1987
111707,الزوجة أول من يعلم,1987
205615,آسف .. لا يوجد حل,1987
282766,الدفاع يتهم,1988
240498,اللقاء الثاني,1988
90674,رأفت الهجان,1988
106184,الراية البيضا,1988
249946,ثمن الخوف,1988
236579,فوازير جدو عبده راح مكتبته,1988
274831,ألف ليلة وليلة: الأشكيف وست الملاح,1989
106187,أنا وانت وبابا في المشمش,1989
252716,الكهف والوهم والحب,1989
232103,الحب وسنينه,1989
249957,أبيض وأسود,1989
274828,ألف ليلة وليلة: بدر باسم وجوهرة بنت السمندل,1990
252754,شارع المواردي,1990
223942,مذكرات زوج,1990
216392,الوسية,1990
104031,عائلة الأستاذ شلش,1990
274835,ألف ليلة وليلة: حمال الأسية,1990
227463,حدود الله,1990
234043,مخلوق اسمه المرأة,1990
110488,مطلوب عروسة,1990
281934,لقاء,1991
274770,ألف ليلة وليلة,1991
243756,النوّة,1991
243243,رحلة أبو الوفا,1991
204949,النوة,1991
55136,ضمير أبلة حكمت,1991
228045,ولدي,1991
53618,البخيل وأنا,1991
110411,عجايب صندوق الدنيا,1991
278630,في قلب الليل,1992
86325,بوابة الحلواني,1992
207107,ألف ليلة وليلة,1992
129287,المال والبنون,1992
122545,مغامرات زكية هانم,1992
274799,ألف ليلة وليلة: معروف الإسكافي,1993
274764,أهل الطريق,1993
258061,ناس ولاد ناس,1993
256625,المحاكمة,1993
90993,ذئاب الجبل,1993
87470,الثعلب,1993
250035,أبناء ولكن,1993
56140,سر الأرض,1994
237317,العائلة,1994
227508,عمر بن عبدالعزيز,1994
203094,لا,1994
90994,أرابيسك: أيام حسن النعماني,1994
55991,يوميات ونيس,1994
283701,شتاء له نهاية,1995
243000,البراري والحامول,1995
243805,اثنين .. اثنين,1995
203807,الخروج من المأزق,1995
274839,ألف ليلة وليلة: علي بابا والأربعين حرامي,1995
225854,الزيني بركات,1995
