Position,Name,Year,URL,Description
1490,Housing crisis,1972,https://boxd.it/jlwE,
1491,Paris and Love,1972,https://boxd.it/KUxw,
1492,Body and Passion,1972,https://boxd.it/UzU,
1493,Dhiaab ealaa altariq,1972,https://boxd.it/FYhs,
1494,A call to life,1972,https://boxd.it/L4Mc,
1495,The Greatest Kid in the World,1972,https://boxd.it/iCmO,
1496,مقلب حب,1972,https://boxd.it/Gn6a,
1497,Shabab fi Mehna,1972,https://boxd.it/Jq6S,
1498,ليمون حلو,1972,https://boxd.it/Mxbc,
1499,Forbidden,1972,https://boxd.it/h2sO,
1500,Desire and Loss,1972,https://boxd.it/mUDQ,
1501,Love & Pride,1972,https://boxd.it/rIVe,
1502,مكان للحب,1972,https://boxd.it/NX6O,
1503,الغضب,1972,https://boxd.it/BnMg,
1504,One last night of love,1972,https://boxd.it/xFf2,
1505,The Barrier,1972,https://boxd.it/mxmC,
1506,The kidnappers,1972,https://boxd.it/s4HS,
1507,Al Shaytan wal Kharif,1972,https://boxd.it/oVfY,
1508,رجل زائد عن الحاجة,1972,https://boxd.it/BPXm,
1509,Al-Shaima,1972,https://boxd.it/vmYS,
1510,The World in 2000,1972,https://boxd.it/KbtE,
1511,لحظات خوف,1972,https://boxd.it/QXCm,
1512,The Tale of a Girl Named Marmar,1972,https://boxd.it/E3Sk,
1513,From home to school,1972,https://boxd.it/scjO,
1514,The Devil is a Woman,1972,https://boxd.it/iCb2,
1515,Imtithal,1972,https://boxd.it/J5jm,
1516,The Den of the Wicked,1972,https://boxd.it/l2DK,
1517,The return of the world's most dangerous man,1972,https://boxd.it/iBoa,
1518,A Nose And Three Eyes,1972,https://boxd.it/gBVa,
1519,The Visitor,1972,https://boxd.it/J4tK,
1520,Youth on Fire,1972,https://boxd.it/scjE,
1521,City Lights,1972,https://boxd.it/nqEw,
1522,My Son,1972,https://boxd.it/mV6e,
1523,Watch Out for Zuzu,1972,https://boxd.it/aToQ,
1524,Empire M,1972,https://boxd.it/8Wpy,
1525,عماشه فى الأدغال,1972,https://boxd.it/5zIG,
1526,يسقط الصمت,1973,https://boxd.it/OIfe,
1527,The Memory of a Night of Love,1973,https://boxd.it/OjzS,
1528,Apartment for Love,1973,https://boxd.it/Jc0w,
1529,Al Aseel,1973,https://boxd.it/J7iA,
1530,Mesk and Anbar,1973,https://boxd.it/G48Q,
1531,The Tragedy of Dr. Hosny,1973,https://boxd.it/vEo4,
1532,The Three Fingers,1973,https://boxd.it/vDsa,
1533,The Song of Death,1973,https://boxd.it/vDhm,
1534,The Troublemakers,1973,https://boxd.it/l38S,
1535,Cowboy,1973,https://boxd.it/IVzO,
1536,Girls of Modern Times,1973,https://boxd.it/5A30,
1537,Army of the Sun,1973,https://boxd.it/aT92,
1538,A Woman from Cairo,1973,https://boxd.it/FOlE,
1539,Two-faced,1973,https://boxd.it/sceu,
1540,Alshayatin fi 'ajaza,1973,https://boxd.it/nUfG,
1541,Al Sokkareya,1973,https://boxd.it/l010,
1542,Searching for a Scandal,1973,https://boxd.it/iCoK,
1543,El Banat Wel Mercedes,1973,https://boxd.it/rSoa,
1544,The Night Women,1973,https://boxd.it/ptgw,
1545,Men who are not afraid of death,1973,https://boxd.it/BnLW,
1546,Wolves That Do Not Eat Meat,1973,https://boxd.it/30MO,
1547,أجمل لقاء فى العالم,1973,https://boxd.it/NKoq,
1548,Al Hob Wa Al Samt,1973,https://boxd.it/rSlg,
1549,Devils and football,1973,https://boxd.it/izVQ,
1550,The Woman Who Defeated the Devil,1973,https://boxd.it/iChO,
1551,Abou Rabiea,1973,https://boxd.it/aHic,
1552,Word of Honour,1973,https://boxd.it/aTde,
1553,Guitar of Love,1973,https://boxd.it/5Ada,
1554,Strangers,1973,https://boxd.it/aPmw,
1555,Medinet Al Samt,1973,https://boxd.it/rJgm,
1556,زمان يا حب,1973,https://boxd.it/Gl5k,
1557,Night and Jail Bars,1973,https://boxd.it/e1l2,
1558,The Most Honorable Sinner,1973,https://boxd.it/GA5k,
1559,The School of Mischief,1973,https://boxd.it/qEK,
1560,Al-Aneed,1973,https://boxd.it/BnM6,
1561,"My blood, My Tears and My Smile",1973,https://boxd.it/mLQG,
1562,The Bathhouse of Malatily,1973,https://boxd.it/7Rfc,
1563,The deceivers,1973,https://boxd.it/HYnu,
1564,3 فتيات مراهقات,1973,https://boxd.it/xFhC,
1565,The Swindlers,1973,https://boxd.it/sa22,
1566,Something of Love,1973,https://boxd.it/oukW,
1567,عفوا عزيزي الاب,1973,https://boxd.it/MFlk,
1568,Al-Shahat,1973,https://boxd.it/GgZi,
1569,sons for sale,1973,https://boxd.it/rRPE,
1570,Soul lover,1973,https://boxd.it/DpCQ,
1571,Group of Teeneagers,1973,https://boxd.it/jlrY,
1572,Madrasat Al-Moraheqeen,1973,https://boxd.it/Hnr0,
1573,When Love Sings,1973,https://boxd.it/eMiO,
1574,The Back Stairs,1973,https://boxd.it/rST8,
1575,A Woman With a Bad Reputation,1973,https://boxd.it/iCF2,
1576,the other man,1973,https://boxd.it/KZmS,
1577,Sound Of Love,1973,https://boxd.it/sa14,
1578,Past Love,1973,https://boxd.it/r2FI,
1579,The School of Mischief,1973,https://boxd.it/5zHS,
1580,El Banat Lazem Ttgawz,1973,https://boxd.it/oXR6,
1581,For a Bunch of Women,1974,https://boxd.it/FS2Q,
1582,The Five Swindlers,1974,https://boxd.it/ABCs,
1583,Confused Woman,1974,https://boxd.it/s0UI,
1584,Two - One - Zero,1974,https://boxd.it/fhdg,
1585,The Tank Hunter,1974,https://boxd.it/vF1U,
1586,Bamba Kasher,1974,https://boxd.it/aLye,
1587,Where Is My Mind ?,1974,https://boxd.it/aIUw,
1588,My Story With Time,1974,https://boxd.it/q3eQ,
1589,Al Abriaa,1974,https://boxd.it/rILy,
1590,The City's Lost Souls,1974,https://boxd.it/G5oU,
1591,"One, Two, Three...",1974,https://boxd.it/nuDW,
1592,امبراطورية المعلم,1974,https://boxd.it/FBae,
1593,Girls and love,1974,https://boxd.it/QKSG,
1594,Agony over smiling lips,1974,https://boxd.it/Egos,
1595,And it was love,1974,https://boxd.it/xFdU,
1596,Demons Forever,1974,https://boxd.it/o4wM,
1597,The Happy Marriage,1974,https://boxd.it/y700,
1598,Donia,1974,https://boxd.it/EgoC,
1599,Al Abtaal,1974,https://boxd.it/pXXK,
1600,24 Hours of Love,1974,https://boxd.it/pno,
1601,The Most Beautiful Days of My Life,1974,https://boxd.it/qj0A,
1602,Language of Love,1974,https://boxd.it/oWrw,
1603,"Me, My daughter and Love",1974,https://boxd.it/RAH6,
1604,Aantar faris alsahra,1974,https://boxd.it/GlWo,
1605,Wonderful Trip,1974,https://boxd.it/IEjO,
1606,They Kill Donkeys,1974,https://boxd.it/H3FG,
1607,Thickets of stems,1974,https://boxd.it/shvU,
1608,The Warm Embrace,1974,https://boxd.it/p7j4,
1609,The Lucky Groom,1974,https://boxd.it/iCds,
1610,A woman in love,1974,https://boxd.it/scki,
1611,The Beauty and The Scoundrel,1974,https://boxd.it/oYtY,
1612,The Giants,1974,https://boxd.it/Gi2M,
1613,Back Streets,1974,https://boxd.it/vXsE,
1614,A Woman for Love,1974,https://boxd.it/s1jS,
1615,"In summer, we must love",1974,https://boxd.it/aPfq,
1616,The Sparrow,1974,https://boxd.it/44FE,
1617,Egyptologové,1974,https://boxd.it/lj80,
1618,The Bullet is Still in My Pocket,1974,https://boxd.it/aYQK,
1619,Girls For Love,1974,https://boxd.it/J5jc,
1620,Al-Wafaa Al-Azeem,1974,https://boxd.it/newA,
1621,The clock strikes ten,1974,https://boxd.it/L5MM,
1622,The Estranged Brothers,1974,https://boxd.it/qJOw,
1623,Bedour,1974,https://boxd.it/mWiq,
1624,ليالي لن تعود,1974,https://boxd.it/Je7E,
1625,Journey of a Lifetime,1974,https://boxd.it/hAhg,
1626,أرملة ليلة الزفاف,1974,https://boxd.it/Lpf4,
1627,Sons of Silence,1974,https://boxd.it/e1ma,
1628,Habibati,1974,https://boxd.it/reUK,
1629,The Fugitive,1974,https://boxd.it/FQhu,
1630,Curse of a woman,1974,https://boxd.it/scya,
1631,My Lover Is Very Naughty,1974,https://boxd.it/s1kw,
1632,The Important Thing Is Love,1974,https://boxd.it/jHiE,
1633,الزائر الغريب,1975,https://boxd.it/LPwK,
1634,Mr. Ayub,1975,https://boxd.it/BnLC,
1635,The Tale of What Happened in Yes City,1975,https://boxd.it/vEgu,
1636,باي باي ياحلوة,1975,https://boxd.it/s1iU,
1637,The Invisible Trick,1975,https://boxd.it/iCP2,
1638,Forbidden at the Wedding Night,1975,https://boxd.it/56W,
1639,Hubb Taht al-Matar,1975,https://boxd.it/aQPk,
1640,A Girl Named Mahmoud,1975,https://boxd.it/aMh4,
1641,Amira.. My Love,1975,https://boxd.it/pUYA,
1642,A Meeting with the Past,1975,https://boxd.it/DQfa,
1643,Don't leave me alone,1975,https://boxd.it/fRgK,
1644,A Question in Love,1975,https://boxd.it/sceY,
1645,Visitor at Dawn,1975,https://boxd.it/b2Eo,
1646,"Hello, I'm the Cat",1975,https://boxd.it/gYQi,
1647,The Grandson,1975,https://boxd.it/eMiE,
1648,Everybody Wants Love,1975,https://boxd.it/2HEc,
1649,Looking for Troubles,1975,https://boxd.it/36rW,
1650,I Want a Solution,1975,https://boxd.it/b1Mc,
1651,La Shay'a Yuhem,1975,https://boxd.it/G3Em,
1652,Nesaa Daeaat/ Nesaa Bela Ghaad,1975,https://boxd.it/FyyC,
1653,The Divorcees,1975,https://boxd.it/y2Z8,
1654,دعونا نحب,1975,https://boxd.it/O9lG,
1655,Youm El Ahad El Damy,1975,https://boxd.it/rJmk,
1656,Sabreen,1975,https://boxd.it/nrqq,
1657,Hobi Al Awal Wa Al Akhir,1975,https://boxd.it/rIUU,
1658,Coward in Love,1975,https://boxd.it/mCP0,
1659,Tears Run Dry,1975,https://boxd.it/s1kQ,
1660,Hadha Uhibbuh wa Hadha Uriduh,1975,https://boxd.it/DEs2,
1661,I'll Never Come Back,1975,https://boxd.it/rRPO,
1662,Entaha El Dars Ya Ghabi,1975,https://boxd.it/rcOg,
1663,women Catcher,1975,https://boxd.it/h1yc,
1664,Ehtaressy Min El Regal ya Mama,1975,https://boxd.it/E7AY,
1665,Nagham Fi Hayaty,1975,https://boxd.it/L2Gc,
1666,The Downtown Apartment,1975,https://boxd.it/Fd6i,
1667,The Name Caller,1975,https://boxd.it/iF7i,
1668,On Cellophane Paper,1975,https://boxd.it/GjRw,
1669,The Liar,1975,https://boxd.it/q3de,
1670,شبان هذه الأيام,1975,https://boxd.it/oWgy,
1671,Wantaha Al-Hob,1975,https://boxd.it/PPo0,
1672,Hasnaa wa Arbaa Oyoun,1975,https://boxd.it/J5dy,
1673,Kings of Laughter,1975,https://boxd.it/ts8E,
1674,Hatta Akher AlOmr,1975,https://boxd.it/n9fO,
1675,الملكة وأنا,1975,https://boxd.it/JaSG,
1676,And The Time passed,1975,https://boxd.it/BnLs,
1677,بابا آخر من يعلم,1975,https://boxd.it/O6jC,
1678,Two women,1975,https://boxd.it/qadq,
1679,The Meek,1975,https://boxd.it/JYmK,
1680,Love... Sweeter Than Love,1975,https://boxd.it/GkFG,
1681,حب احلى من الحب,1975,https://boxd.it/iDpu,
1682,Madness of Youth,1975,https://boxd.it/sBYW,
1683,Whom Should We Shoot?,1975,https://boxd.it/7HKE,
1684,مجانين بالوراثة,1975,https://boxd.it/rA4Q,
1685,Life is a Carnival,1975,https://boxd.it/l3WI,
1686,The Victims,1975,https://boxd.it/duzU,
1687,Badia Masabni,1975,https://boxd.it/L2JU,
1688,The Lady and the Wolves,1975,https://boxd.it/lhVO,
1689,Shahira,1975,https://boxd.it/Q68o,
1690,The White Dress,1975,https://boxd.it/fQOc,
1691,Karnak,1975,https://boxd.it/aFJK,
1692,Mean yekdar al-aziza,1975,https://boxd.it/iCqw,
1693,Night of Men,1976,https://boxd.it/MQW2,
1694,A house without love,1976,https://boxd.it/DpIY,
1695,Qamar Al-Zaman,1976,https://boxd.it/DpHm,
1696,The Advice of a Wise Man on the Affairs of Village and Education,1976,https://boxd.it/A42Q,
1697,Barefoot on the Gold Bridge,1976,https://boxd.it/vPN0,
1698,Away from Land,1976,https://boxd.it/sZjy,
1699,The Advice of a Wise Man in Matters of the Village and Education,1976,https://boxd.it/b1Rw,
1700,Encounter There,1976,https://boxd.it/gxka,
1701,Amwag Bela Shate,1976,https://boxd.it/rRT2,
1702,Love on Miami Beach,1976,https://boxd.it/rIU6,
1703,أمواج بلا شاطئ,1976,https://boxd.it/qIZo,
1704,Beyond Love,1976,https://boxd.it/scjk,
1705,Legs In Mud,1976,https://boxd.it/iCNq,
1706,I Wish I Didn't Know Love,1976,https://boxd.it/gyEq,
1707,women in print,1976,https://boxd.it/GKvM,
1708,Daqet Qalb,1976,https://boxd.it/o4oy,
1709,The Married Couples,1976,https://boxd.it/5FOU,
1710,For Whom The Sun Rises,1976,https://boxd.it/p0YY,
1711,A Teenager from the Countryside,1976,https://boxd.it/iCrO,
1712,His Sisters,1976,https://boxd.it/CisC,
1713,Viva Zalata,1976,https://boxd.it/9cLA,
1714,Shouq,1976,https://boxd.it/sclg,
1715,The Witness Who Didn't See Anything,1976,https://boxd.it/zEO,
1716,حبيبة غيري,1976,https://boxd.it/JaZ8,
1717,الكل يحب,1976,https://boxd.it/HdUG,
1718,No My Ex-Lover,1976,https://boxd.it/rJko,
1719,The Message - Arabic Cut,1976,https://boxd.it/AUEC,
1720,And Life Is Back,1976,https://boxd.it/scdQ,
1721,Ar-Rissala,1976,https://boxd.it/Gb7U,
1722,Black Velvet,1976,https://boxd.it/2ld4,
1723,الضوء الأخضر,1976,https://boxd.it/O6nk,
1724,The Sinners,1976,https://boxd.it/gSiE,
1725,La waqt lil-demoue,1976,https://boxd.it/JvAo,
1726,Face to Face,1976,https://boxd.it/GMVs,
1727,Days Journey,1976,https://boxd.it/G49E,
1728,A World of Children,1976,https://boxd.it/iCB0,
1729,Return of the Prodigal Son,1976,https://boxd.it/3QaW,
1730,Goodbye forever,1976,https://boxd.it/BduG,
1731,Ali Beh Mazhar,1976,https://boxd.it/nwDY,
1732,First Year of Love,1976,https://boxd.it/FIei,
1733,The Quiet Nest,1976,https://boxd.it/s0Q2,
1734,الحياة نغم,1976,https://boxd.it/Jkqs,
1735,Wa bel-Waledayne Ihsana,1976,https://boxd.it/neM4,
1736,Reckless Husbands,1976,https://boxd.it/ekNa,
1737,Al'eyal El-tayebeen,1976,https://boxd.it/FRjw,
1738,The Circle of Revenge,1976,https://boxd.it/pT6C,
1739,The Aberrants,1976,https://boxd.it/s0Uo,
1740,نبتدي منين الحكاية,1976,https://boxd.it/Egrw,
1741,Marriage on Air,1976,https://boxd.it/s1kG,
1742,Tawheeda,1976,https://boxd.it/s1km,
1743,"Your Wisdom, God!",1976,https://boxd.it/olLa,
1744,Al-Karawan Loh Shafayef,1976,https://boxd.it/JklW,
1745,Behold How Bold Is Sokkar,1977,https://boxd.it/s1iA,
1746,Albint Alhulwat Alkadaba,1977,https://boxd.it/osPo,
1747,The Tomb,1977,https://boxd.it/mVEq,
1748,13 lies,1977,https://boxd.it/lZPg,
1749,Harami El Hob,1977,https://boxd.it/iDuO,
1750,Rendezvous with Soso,1977,https://boxd.it/pzuk,
1751,The Memorable Pilgrimage of Emperor Kanga Mussa From Mali to Mecca,1977,https://boxd.it/s6LM,
1752,The Siege,1977,https://boxd.it/SvkI,
1753,The Sandwich,1977,https://boxd.it/aZ7m,
1754,Sonya and the Madman,1977,https://boxd.it/ktDA,
1755,حلوة يا دنيا الحب,1977,https://boxd.it/O9j6,
1756,E'ndama Yasqot Al-gasad,1977,https://boxd.it/rISE,
1757,The Tender Gender,1977,https://boxd.it/gGPm,
1758,The Devils,1977,https://boxd.it/FRMy,
1759,Fattah Tabhas Aaan El Hob,1977,https://boxd.it/Gn4o,
1760,A Woman Of Glass,1977,https://boxd.it/Dgjq,
1761,Layl waraghba,1977,https://boxd.it/G458,
1762,"Enough, my heart",1977,https://boxd.it/BnL8,
1763,Meet,1977,https://boxd.it/EPY6,
1764,Violet Flower,1977,https://boxd.it/q3rA,
1765,The Sad Night Bird,1977,https://boxd.it/nuaU,
1766,Sins of Love,1977,https://boxd.it/mSdc,
1767,Egypte,1977,https://boxd.it/lP5W,
1768,The Egyptian Princess,1977,https://boxd.it/Eo1G,
1769,مسرحية 20 فرخة وديك,1977,https://boxd.it/H4FM,
1770,Madness of Love,1977,https://boxd.it/psNa,
1771,Ebnati Wil Zaeeb,1977,https://boxd.it/s47A,
1772,Ela Al Ma2zoon Ya Habibi,1977,https://boxd.it/rSnG,
1773,Born in Lost Time,1977,https://boxd.it/rcNM,
1774,Women in the City,1977,https://boxd.it/FrHW,
1775,Mizo's Story,1977,https://boxd.it/GzFw,
1776,Where Is the Way Out,1977,https://boxd.it/nQM2,
1777,عذراء .. ولكن,1977,https://boxd.it/FZl6,
1778,الولد الغبي,1977,https://boxd.it/T1KS,
1779,Thousand Kisses and kiss,1977,https://boxd.it/Ssg4,
1780,Prayer of the oppressed,1977,https://boxd.it/MUPu,
1781,Thousands Kisses,1977,https://boxd.it/KzwM,
1782,Love Comes Before Bread Sometimes,1977,https://boxd.it/oZXg,
1783,The Demons Husbands,1977,https://boxd.it/iCnM,
1784,Caught in a Honey Trap,1977,https://boxd.it/lD64,
1785,"Zizo, My Beloved Uncle",1977,https://boxd.it/jlxM,
1786,Mouths and Rabbits,1977,https://boxd.it/aHro,
1787,Tears in happy eyes,1977,https://boxd.it/q3cU,
1788,Star Maker,1977,https://boxd.it/DpGy,
1789,Al Zouj Al Mohtaram,1977,https://boxd.it/rINE,
1790,مع حبي وأشواقي,1977,https://boxd.it/otK0,
1791,The Water-Carrier Is Dead,1977,https://boxd.it/aZ8a,
1792,Torment is a woman,1977,https://boxd.it/iCN6,
1793,كباريه الحياة,1977,https://boxd.it/K16K,
1794,شيلني وأشيلك,1977,https://boxd.it/s8aI,
1795,A Certain Whisper,1977,https://boxd.it/sbqa,
1796,Ah Ya Lail Ya Zaman,1977,https://boxd.it/oQ3y,
1797,Cat on Fire,1977,https://boxd.it/b0d6,
1798,Lovers,1978,https://boxd.it/Nt1a,
1799,He That Is Without Sin,1978,https://boxd.it/LiOG,
1800,A traveler without a road,1978,https://boxd.it/Gn9e,
1801,The Farewell Song,1978,https://boxd.it/Gk1G,
1802,أخر شقاوة,1978,https://boxd.it/Ehms,
1803,Bent Gheir Kol Al-Banat,1978,https://boxd.it/E3ta,
1804,A Woman Without Restriction,1978,https://boxd.it/y5tE,
1805,Al Ostaz Mazzika,1978,https://boxd.it/o3z6,
1806,Al-Aqmar,1978,https://boxd.it/qUnw,
1807,"All Sizzle, No Steak",1978,https://boxd.it/Svl2,
1808,"Egypt, City of the Dead",1978,https://boxd.it/iPla,
1809,It Is Not Enough for God to Be with the Poor,1978,https://boxd.it/8M7E,
1810,Ahla Ayam Al Omr,1978,https://boxd.it/rRQ8,
1811,Satan in the City,1978,https://boxd.it/s42U,
1812,Unforgettable Night,1978,https://boxd.it/E1vS,
1813,الأقمر,1978,https://boxd.it/QIS0,
1814,Deposit with Honors,1978,https://boxd.it/mQYg,
1815,Sunstroke,1978,https://boxd.it/aMya,
1816,Daa El-Omr Ya Walady,1978,https://boxd.it/qS9s,
1817,The Regret,1978,https://boxd.it/guVM,
1818,Mr. Music,1978,https://boxd.it/n7tu,
1819,The Other Woman,1978,https://boxd.it/FTeo,
1820,الكلمة الأخيرة,1978,https://boxd.it/FSoW,
1821,رحلة داخل امرأة,1978,https://boxd.it/xFhW,
1822,Al-Qadeya Al-Mashhora,1978,https://boxd.it/s0Qm,
1823,Journey with the devil,1978,https://boxd.it/RupU,
1824,Remember me,1978,https://boxd.it/nose,
1825,The Judge and the Executioner,1978,https://boxd.it/Gi3A,
1826,"Beware, Gentlemen",1978,https://boxd.it/aR0W,
1827,A Castle in the Air,1978,https://boxd.it/Gl7U,
1828,Laiali Yasmeen,1978,https://boxd.it/Egmc,
1829,Asyad Wa Abeed,1978,https://boxd.it/GjfW,
1830,واحدة بعد واحدة ونص,1978,https://boxd.it/Gn7s,
1831,Mokalmet Baa'd Montasaf Elleil,1978,https://boxd.it/xFiq,
1832,Les Miserables,1978,https://boxd.it/lBAm,
1833,The Fat Cats,1978,https://boxd.it/o2NG,
1834,Final Confession,1978,https://boxd.it/l4k6,
1835,أولاد الحلال,1978,https://boxd.it/QI5s,
1836,Some Visit the Marriage Registrar Twice,1978,https://boxd.it/eM4s,
1837,Wa Menel Hob Ma Qatal,1978,https://boxd.it/neKM,
1838,Ayb Ya Lulu Ya Lulu Ayb,1978,https://boxd.it/mSl6,
1839,The Girl who said: No,1978,https://boxd.it/iCoq,
1840,Ahlan Ya Captin,1978,https://boxd.it/tS2i,
1841,A woman in my blood,1978,https://boxd.it/othM,
1842,Dreams Of El Tayer Boy,1978,https://boxd.it/BGbo,
1843,Al-Mashrabiya,1978,https://boxd.it/SvkS,
1844,Ragol Bima'n Al-kalima,1978,https://boxd.it/uegQ,
1845,Valley of Memories,1978,https://boxd.it/qHCo,
1846,A Man Named Abbas,1978,https://boxd.it/Ixia,
1847,Desire and Price,1978,https://boxd.it/L6We,
1848,Sikkat Al-Ashqeen,1978,https://boxd.it/FZsG,
1849,heartless woman,1978,https://boxd.it/FTjo,
1850,It's Better Without Marriage,1978,https://boxd.it/w6FW,
1851,The Criminal,1978,https://boxd.it/oXdU,
1852,Waraa Al-Shams,1978,https://boxd.it/mV64,
1853,Life is a Moment,1978,https://boxd.it/mV56,
1854,I want love and affection,1978,https://boxd.it/R9KW,
1855,Rise to the Abyss,1978,https://boxd.it/X6c,
1856,شقة وعروسة يارب,1978,https://boxd.it/JeUc,
1857,A woman is a woman,1978,https://boxd.it/L6Y0,
1858,Young men dancing over the fire,1978,https://boxd.it/nrnQ,
1859,المليونيرة النشالة,1978,https://boxd.it/MPNo,
1860,Hob Fauq Al-Burkan,1978,https://boxd.it/Egt8,
1861,Hisab alsinin,1978,https://boxd.it/mK6M,
1862,I Have the Wallet,1978,https://boxd.it/iChY,
1863,Shafiqa and Metwally,1978,https://boxd.it/8gQ8,
1864,They're All in Hell,1978,https://boxd.it/BnKY,
1865,One Smile Is Enough,1978,https://boxd.it/Fcq2,
1866,قلوب في بحر الدموع,1978,https://boxd.it/qS8k,
1867,The Devil Makes Three,1978,https://boxd.it/K8bs,
1868,Journey to oblivion,1978,https://boxd.it/IEKK,
1869,I Am Better than Him,1979,https://boxd.it/LiNy,
1870,The Cursed,1979,https://boxd.it/ID9S,
1871,Drop of Water,1979,https://boxd.it/IxQc,
1872,The Dirty Hands,1979,https://boxd.it/r8Xe,
1873,"Doubt, My Love",1979,https://boxd.it/qIZI,
1874,وراك يا زمن,1979,https://boxd.it/mRqO,
1875,Adventurers Around the World,1979,https://boxd.it/iCr0,
1876,A Tale Behind Every Door,1979,https://boxd.it/r2vS,
1877,Under 20 Lovers,1979,https://boxd.it/fDrE,
1878,The Days,1979,https://boxd.it/BGbS,
1879,Laenet Al Zaman,1979,https://boxd.it/vOKk,
1880,Men at Sunset,1979,https://boxd.it/Svlc,
1881,Ragab Fawq Safeeh Sakhin,1979,https://boxd.it/aR1q,
1882,Alexandria… Why?,1979,https://boxd.it/10zw,
1883,Premeditated,1979,https://boxd.it/Fdno,
1884,It Is Really A Respectable Family,1979,https://boxd.it/nwre,
1885,Qaher Al Zalam,1979,https://boxd.it/QJGY,
1886,The Savage,1979,https://boxd.it/njFs,
1887,Aqwa Min Al-Ayam,1979,https://boxd.it/njv8,
1888,الطيور المهاجرة,1979,https://boxd.it/FRLU,
1889,The Joker,1979,https://boxd.it/9sW0,
1890,رجال لا يعرفون الحب,1979,https://boxd.it/FYhM,
1891,Sin of an Angel,1979,https://boxd.it/9yxK,
1892,سأكتب اسمك على الرمال,1979,https://boxd.it/FZta,
1893,Yumhil wala Yuhmal,1979,https://boxd.it/QKRo,
1894,My Life is Hell,1979,https://boxd.it/FYgk,
1895,The Lunatics Nest,1979,https://boxd.it/jYHG,
1896,I Am Better than Him,1979,https://boxd.it/H3G0,
1897,Rescue This Family,1979,https://boxd.it/rINO,
1898,No Longer Kids,1979,https://boxd.it/pmg,
1899,The Game,1979,https://boxd.it/nqAE,
1900,Jack of All Trades,1979,https://boxd.it/RRzy,
1901,"My Dear Children, Thank You",1979,https://boxd.it/BGbI,
1902,"Don't cry, my love of life",1979,https://boxd.it/QKPM,
1903,A Woman Deceived Me,1979,https://boxd.it/B9Ts,
1904,A Killer Who killed No one,1979,https://boxd.it/nqum,
1905,My Dignity,1979,https://boxd.it/CK36,
1906,No Consolation For Women,1979,https://boxd.it/sO7m,
1907,The Illusion,1979,https://boxd.it/s2RQ,
1908,وتمضي الأحزان,1979,https://boxd.it/JeT4,
1909,We Are the Bus People,1979,https://boxd.it/35mm,
1910,Wa la yazal al tahqiq mostameran,1979,https://boxd.it/l4Py,
1911,Take Care of Your Neighbors,1979,https://boxd.it/iD6C,
1912,قصة الحي الغربي,1979,https://boxd.it/EbOK,
1913,Afraid of Something,1979,https://boxd.it/s1lO,
1914,El-Ganna Taht Qadmeha,1979,https://boxd.it/Egsu,
1915,نوع من النساء,1979,https://boxd.it/scf8,
1916,Flew Over The Criminal's Nest,1980,https://boxd.it/LiJc,
1917,American Motion Picture,1980,https://boxd.it/Ld9I,
1918,The trap of marital happiness,1980,https://boxd.it/HkRO,
1919,Flew Over The Criminal's Nest,1980,https://boxd.it/H4pk,
1920,Crazy Bride,1980,https://boxd.it/FMc6,
1921,Whose Son Is He,1980,https://boxd.it/Fg4a,
1922,Esteqalet Alemet Zarra,1980,https://boxd.it/xFkG,
1923,The Mermaid,1980,https://boxd.it/sclq,
1924,8 in the Air,1980,https://boxd.it/rcWE,
1925,Baba Ayez Keda,1980,https://boxd.it/o2Ja,
1926,AL-ZANKKA,1980,https://boxd.it/o0o0,
1927,Where Do You Hide the Sun?,1980,https://boxd.it/aIUG,
1928,Scrap Artist,1980,https://boxd.it/vF1g,
1929,The Master Builder,1980,https://boxd.it/S4Yc,
1930,Eldarb Elahmar,1980,https://boxd.it/n91i,
1931,Hello Doctor,1980,https://boxd.it/mSjE,
1932,Neither a Devil Nor an Angel,1980,https://boxd.it/O9dC,
1933,The Window,1980,https://boxd.it/SAgG,
1934,الوحش داخل الإنسان,1980,https://boxd.it/EbN8,
1935,Flatfoot in Egypt,1980,https://boxd.it/1Uus,
1936,Do not wrong women,1980,https://boxd.it/EbOq,
1937,Desire,1980,https://boxd.it/joL8,
1938,Death of a Princess,1980,https://boxd.it/6xXQ,
1939,Dad Has Lost His Mind,1980,https://boxd.it/iD8S,
1940,Smart but Stupid,1980,https://boxd.it/iBqq,
1941,أبو البنات,1980,https://boxd.it/GgS2,
1942,Budhur alshaytan,1980,https://boxd.it/Gk6c,
1943,Tears Without Sins,1980,https://boxd.it/o2Nm,
1944,El-Ukhwah el-Ghuraba,1980,https://boxd.it/ReIG,
1945,Victims Hotel,1980,https://boxd.it/KKA6,
1946,انتقام المهراجا,1980,https://boxd.it/O6HO,
1947,EL ABALSSA,1980,https://boxd.it/orU8,
1948,An Investigation,1980,https://boxd.it/Ixhc,
1949,Who's Finally Laughing,1980,https://boxd.it/mRv0,
1950,Who's Finally Laughing,1980,https://boxd.it/rcNW,
1951,Lock Up Your Daughters,1980,https://boxd.it/5zGU,
1952,Tears on Bold Eyes,1980,https://boxd.it/BGc2,
1953,Troublemaker,1980,https://boxd.it/2HE2,
1954,Hob La Yara Al-Shams,1980,https://boxd.it/n926,
1955,Circle of doubt,1980,https://boxd.it/FYfm,
1956,آسفة أرفض الطلاق,1980,https://boxd.it/OD20,
